step,SARSA,Q_learning,double_Q_learning,QV_learning
894,36,36,66,14
895,20,20,64,30
896,37,37,34,37
897,53,53,39,26
898,26,26,18,55
899,17,17,29,10
900,17,17,4,22
901,41,41,13,22
902,39,39,24,20
903,33,33,25,9
904,7,7,32,15
905,30,30,20,47
906,27,27,45,57
907,64,64,9,30
908,25,25,12,17
909,6,6,50,19
910,52,52,26,38
911,18,18,37,36
912,45,45,17,13
913,40,40,25,38
914,51,51,34,5
915,39,39,56,9
916,41,41,24,45
917,46,46,58,11
918,46,46,40,11
919,23,23,8,6
920,41,41,62,37
921,52,52,36,22
922,8,8,44,11
923,39,39,33,4
924,37,37,63,30
925,44,44,21,34
926,17,17,15,56
927,34,34,31,35
928,37,37,35,4
929,24,24,30,32
930,13,13,30,19
931,12,12,14,11
932,39,39,30,34
933,47,47,41,36
934,49,49,32,33
935,45,45,7,6
936,39,39,45,15
937,7,7,42,40
938,25,25,29,9
939,47,47,48,26
940,33,33,33,12
941,53,53,51,6
942,15,15,11,49
943,7,7,44,12
944,28,28,32,54
945,36,36,41,19
946,35,35,37,10
947,45,45,21,17
948,34,34,12,16
949,4,4,10,55
950,39,39,14,9
951,5,5,50,22
952,43,43,29,30
953,27,27,51,22
954,16,16,52,42
955,21,21,14,14
956,59,59,51,22
957,24,24,28,4
958,33,33,43,6
959,10,10,68,37
960,28,28,27,37
961,6,6,9,29
962,27,27,10,24
963,48,48,46,15
964,49,49,47,36
965,18,18,10,38
966,29,29,42,24
967,32,32,59,28
968,49,49,28,12
969,20,20,40,36
970,47,47,38,27
971,33,33,42,38
972,11,11,29,12
973,12,12,41,11
974,26,26,42,22
975,39,39,49,30
976,45,45,12,24
977,48,48,44,25
978,55,55,6,19
979,39,39,31,27
980,39,39,35,18
981,25,25,22,26
982,34,34,42,11
983,70,70,46,18
984,22,22,19,43
985,27,27,9,36
986,11,11,35,22
987,32,32,56,5
988,4,4,36,6
989,40,40,48,19
990,72,72,54,7
991,36,36,21,23
992,50,50,48,17
993,21,21,47,28
994,52,52,27,12
995,14,14,25,5
996,6,6,51,30
997,32,32,49,12
998,30,30,51,35
999,43,43,26,22
1000,48,48,42,16
1001,59,59,12,31
1002,59,59,33,24
1003,49,49,55,22
1004,31,31,15,35
1005,36,36,35,32
1006,27,27,61,25
1007,51,51,53,9
1008,22,22,19,23
1009,7,7,53,35
1010,43,43,68,31
1011,37,37,28,26
1012,40,40,9,28
1013,10,10,33,11
1014,57,57,29,35
1015,40,40,32,19
1016,38,38,7,7
1017,37,37,22,22
1018,33,33,22,53
1019,9,9,7,16
1020,62,62,37,17
1021,31,31,19,36
1022,16,16,39,7
1023,30,30,12,30
1024,53,53,36,23
1025,9,9,16,18
1026,6,6,13,14
1027,25,25,36,41
1028,6,6,5,13
1029,32,32,33,26
1030,36,36,33,14
1031,13,13,61,43
1032,38,38,39,20
1033,35,35,35,7
1034,42,42,39,48
1035,15,15,43,15
1036,32,32,10,11
1037,8,8,35,50
1038,22,22,47,28
1039,23,23,9,32
1040,29,29,12,37
1041,6,6,23,12
1042,43,43,41,17
1043,40,40,26,15
1044,16,16,48,15
1045,5,5,6,32
1046,35,35,14,44
1047,7,7,25,11
1048,64,64,31,12
1049,25,25,39,31
1050,11,11,46,12
1051,6,6,61,17
1052,18,18,28,26
1053,39,39,7,6
1054,59,59,45,23
1055,35,35,41,41
1056,12,12,32,38
1057,21,21,10,6
1058,57,57,51,42
1059,41,41,20,4
1060,42,42,28,41
1061,41,41,64,10
1062,38,38,35,43
1063,29,29,28,39
1064,33,33,7,18
1065,11,11,47,18
1066,14,14,13,49
1067,55,55,26,19
1068,49,49,38,27
1069,33,33,15,13
1070,32,32,8,6
1071,43,43,26,17
1072,8,8,6,37
1073,5,5,6,23
1074,51,51,26,27
1075,54,54,20,31
1076,28,28,63,26
1077,12,12,34,13
1078,47,47,31,7
1079,53,53,32,55
1080,9,9,32,54
1081,48,48,58,48
1082,67,67,45,12
1083,36,36,10,49
1084,29,29,37,58
1085,64,64,13,25
1086,10,10,32,28
1087,9,9,11,58
1088,12,12,23,51
1089,60,60,46,34
1090,25,25,57,30
1091,9,9,25,5
1092,56,56,22,57
1093,46,46,32,31
1094,39,39,16,28
1095,54,54,9,27
1096,44,44,48,33
1097,35,35,26,39
1098,26,26,35,31
1099,28,28,33,25
1100,28,28,21,41
1101,11,11,31,30
1102,34,34,38,21
1103,39,39,28,63
1104,24,24,43,24
1105,22,22,42,14
1106,30,30,9,14
1107,11,11,10,12
1108,22,22,17,15
1109,9,9,49,42
1110,12,12,40,4
1111,4,4,10,7
1112,29,29,15,6
1113,15,15,25,38
1114,45,45,7,23
1115,53,53,21,45
1116,51,51,27,42
1117,14,14,7,18
1118,11,11,15,15
1119,22,22,38,46
1120,35,35,15,39
1121,6,6,35,20
1122,12,12,18,9
1123,39,39,33,21
1124,20,20,35,18
1125,46,46,20,57
1126,38,38,38,10
1127,16,16,11,21
1128,11,11,31,53
1129,44,44,33,45
1130,48,48,42,15
1131,44,44,47,12
1132,39,39,15,22
1133,52,52,19,10
1134,16,16,10,15
1135,37,37,26,19
1136,9,9,42,6
1137,6,6,6,12
1138,59,59,45,7
1139,10,10,4,17
1140,38,38,12,13
1141,52,52,42,32
1142,36,36,8,14
1143,43,43,39,17
1144,6,6,34,18
1145,16,16,7,33
1146,36,36,25,44
1147,22,22,28,12
1148,47,47,10,13
1149,46,46,35,20
1150,42,42,12,40
1151,56,56,9,34
1152,32,32,14,14
1153,19,19,12,21
1154,45,45,56,10
1155,33,33,29,15
1156,39,39,37,40
1157,37,37,24,50
1158,38,38,37,23
1159,56,56,18,11
1160,34,34,45,21
1161,27,27,6,7
1162,43,43,6,7
1163,18,18,7,23
1164,54,54,33,30
1165,6,6,30,21
1166,36,36,11,21
1167,16,16,32,45
1168,48,48,27,8
1169,40,40,33,9
1170,8,8,34,56
1171,28,28,21,16
1172,39,39,12,24
1173,39,39,29,34
1174,7,7,27,11
1175,9,9,20,44
1176,45,45,12,45
1177,50,50,42,35
1178,39,39,20,6
1179,54,54,9,22
1180,39,39,18,21
1181,44,44,13,36
1182,12,12,7,8
1183,41,41,31,30
1184,47,47,28,13
1185,45,45,75,45
1186,43,43,53,13
1187,37,37,28,11
1188,52,52,43,7
1189,55,55,7,8
1190,15,15,15,56
1191,41,41,37,18
1192,32,32,23,20
1193,38,38,7,28
1194,32,32,12,7
1195,20,20,34,12
1196,8,8,27,35
1197,28,28,9,26
1198,8,8,40,32
1199,42,42,30,14
1200,38,38,34,38
1201,31,31,36,32
1202,48,48,41,14
1203,28,28,36,23
1204,24,24,11,51
1205,46,46,12,24
1206,36,36,40,24
1207,32,32,12,29
1208,12,12,40,41
1209,39,39,36,41
1210,27,27,41,31
1211,21,21,31,27
1212,32,32,23,17
1213,21,21,71,30
1214,21,21,30,6
1215,65,65,33,42
1216,11,11,38,20
1217,19,19,38,36
1218,18,18,36,36
1219,46,46,12,17
1220,19,19,32,10
1221,18,18,47,12
1222,10,10,17,32
1223,49,49,52,28
1224,5,5,38,13
1225,26,26,41,36
1226,18,18,14,4
1227,6,6,9,27
1228,11,11,38,47
1229,36,36,8,14
1230,24,24,38,20
1231,6,6,30,32
1232,56,56,5,25
1233,44,44,16,28
1234,36,36,4,58
1235,6,6,25,9
1236,43,43,4,14
1237,25,25,21,12
1238,20,20,35,35
1239,14,14,48,38
1240,33,33,22,18
1241,27,27,26,6
1242,27,27,12,29
1243,29,29,8,28
1244,7,7,49,40
1245,41,41,38,11
1246,24,24,43,4
1247,15,15,12,21
1248,4,4,18,13
1249,54,54,41,36
1250,29,29,47,4
1251,34,34,40,34
1252,14,14,28,23
1253,17,17,12,26
1254,46,46,14,11
1255,41,41,27,20
1256,47,47,52,19
1257,13,13,43,9
1258,22,22,36,12
1259,12,12,22,50
1260,14,14,4,13
1261,39,39,17,10
1262,33,33,33,13
1263,11,11,25,4
1264,59,59,42,11
1265,6,6,40,23
1266,19,19,53,74
1267,41,41,44,16
1268,33,33,20,39
1269,45,45,23,34
1270,45,45,33,37
1271,31,31,35,10
1272,5,5,28,31
1273,40,40,51,13
1274,30,30,15,46
1275,7,7,19,28
1276,32,32,61,32
1277,49,49,49,13
1278,10,10,41,26
1279,46,46,43,34
1280,9,9,7,4
1281,56,56,38,38
1282,37,37,35,41
1283,29,29,39,23
1284,53,53,43,19
1285,16,16,19,50
1286,25,25,12,41
1287,9,9,19,32
1288,28,28,10,18
1289,9,9,29,37
1290,8,8,40,31
1291,56,56,14,28
1292,16,16,46,49
1293,12,12,9,18
1294,39,39,45,9
1295,38,38,29,22
1296,27,27,13,15
1297,32,32,26,45
1298,18,18,43,40
1299,12,12,4,41
1300,33,33,43,34
1301,16,16,65,22
1302,11,11,13,33
1303,24,24,38,19
1304,46,46,41,9
1305,37,37,39,19
1306,42,42,25,45
1307,27,27,13,7
1308,34,34,39,6
1309,37,37,53,29
1310,8,8,19,18
1311,31,31,39,11
1312,15,15,14,5
1313,17,17,37,22
1314,31,31,72,13
1315,43,43,10,47
1316,50,50,9,16
1317,36,36,75,41
1318,9,9,11,25
1319,7,7,39,15
1320,8,8,45,20
1321,35,35,49,16
1322,8,8,38,5
1323,39,39,6,10
1324,42,42,48,15
1325,51,51,20,6
1326,38,38,44,24
1327,5,5,44,49
1328,45,45,21,9
1329,35,35,49,59
1330,17,17,7,18
1331,41,41,43,57
1332,21,21,22,4
1333,12,12,36,22
1334,13,13,27,25
1335,31,31,16,22
1336,46,46,8,28
1337,45,45,48,9
1338,38,38,8,36
1339,46,46,6,39
