step,SARSA,Q_learning,double_Q_learning,QV_learning,stdSarsa,stdQ,stddoubleQ,stdQV
314,93.9528,91.4324,88.478,93.4936314,10.1852,6.12758,13.0342,3.55776
315,93.7008,91.9092,87.8264,93.6315,10.366,6.52882,12.9147,3.7531
316,93.0494,91.2292,88.36,93.1816316,12.0833,7.42682,13.1762,3.47044
317,93.294,91.7208,86.912,93.3696317,10.8245,5.64513,17.4679,3.46875
318,93.2148,91.6276,88.0188,93.4836318,11.0569,5.86149,15.9677,3.48032
319,92.6626,91.8108,87.7424,93.1756319,12.3099,6.02838,14.0282,3.74595
320,92.266,91.6492,87.5692,93.2492320,13.6159,5.78539,15.6947,3.90735
321,92.8942,91.984,88.4204,93.434321,12.1796,4.81362,13.052,3.54503
322,92.14,91.7008,88.6916,93.3972322,12.9042,5.9547,12.7437,3.66662
323,92.6404,91.9408,88.0736,93.0896323,14.1725,5.88225,13.9045,3.65119
324,93.812,91.772,88.2576,93.5116324,10.1792,5.48853,11.6842,3.57052
325,93.7678,91.2892,88.098,93.4416325,10.8684,5.87638,12.8923,3.54424
326,93.472,91.706,88.0804,93.3852326,11.4783,5.28956,14.6978,3.67021
327,93.1364,91.6276,88.412,93.4332327,12.2486,5.71724,13.7833,3.5468
